N=1900,T1,T2,S2,T4,S4,T7,S7,T8,S8,T16,S16,T20,S20,T40,S40
1900,0.468196,0.259656,1.80077,0.14134,3.30819,0.104775,4.4627,0.0990732,4.71954,0.0635622,7.35625,0.0550451,8.49448,0.0498616,9.37756
1900,0.467546,0.260646,1.79393,0.143067,3.26826,0.10356,4.51504,0.098351,4.75419,0.0624691,7.48498,0.0561937,8.32085,0.0457741,10.2149
1900,0.467528,0.254838,1.83481,0.140962,3.31706,0.107205,4.36155,0.0947375,4.93553,0.0658644,7.09912,0.0531775,8.79281,0.0440332,10.6188
1900,0.471487,0.26363,1.77362,0.152711,3.06186,0.100851,4.63636,0.0926416,5.04719,0.0599339,7.80159,0.0491894,9.5057,0.0365733,12.7847
1900,0.46704,0.243726,1.91846,0.136482,3.42596,0.095549,4.89361,0.0884499,5.28638,0.0545751,8.56764,0.0479163,9.75827,0.0382925,12.2107
